"Calories","Total_Fat","Sodium","Carbohydrates","Sugars","Protein","Id","Vitamin_A_re_DV","Vitamin_C_mg_DV","Dietary_Fibre_g","Calcium_mg_DV","Iron_mg_DV"
660.0,19.0,200.0,109.0,81.0,14.0,243.0,250.0,0.0,0.0,550.0,0.0
820.0,23.0,260.0,135.0,101.0,18.0,244.0,300.0,0.0,0.0,660.0,0.0
550.0,16.0,160.0,90.0,79.0,12.0,245.0,200.0,0.0,0.0,440.0,0.0
690.0,20.0,210.0,114.0,100.0,15.0,246.0,250.0,0.0,0.0,550.0,0.0
850.0,24.0,260.0,140.0,123.0,18.0,247.0,300.0,0.0,0.0,770.0,0.0
560.0,16.0,240.0,91.0,77.0,12.0,248.0,200.0,0.0,1.25,440.0,1.44
700.0,20.0,300.0,114.0,97.0,15.0,249.0,250.0,0.0,1.5,550.0,1.8
850.0,23.0,380.0,141.0,120.0,19.0,250.0,300.0,0.0,2.0,660.0,2.7
660.0,19.0,210.0,109.0,93.0,14.0,251.0,250.0,0.0,0.0,550.0,0.0
820.0,23.0,260.0,135.0,115.0,18.0,252.0,300.0,0.0,0.0,660.0,0.0
650.0,23.0,180.0,96.0,89.0,13.0,253.0,150.0,0.0,1.5,495.0,1.44
930.0,33.0,260.0,139.0,128.0,20.0,254.0,250.0,0.0,1.75,770.0,1.8
430.0,15.0,120.0,64.0,59.0,9.0,255.0,100.0,0.0,1.0,330.0,0.72
510.0,17.0,280.0,80.0,64.0,12.0,256.0,150.0,0.0,1.0,440.0,1.44
690.0,23.0,380.0,106.0,85.0,15.0,257.0,200.0,0.0,1.25,550.0,1.8
340.0,11.0,190.0,53.0,43.0,8.0,258.0,100.0,0.0,0.5,275.0,1.08
810.0,32.0,400.0,114.0,103.0,21.0,259.0,200.0,0.0,2.25,660.0,1.08
410.0,16.0,200.0,57.0,51.0,10.0,260.0,100.0,0.0,1.25,330.0,0.72
